Depart,Arrivee,CO2,prix,temps
LILLE,MARSEILLE,3.8692,87,5h02
LYON,RENNES,2.4344,66.5,3h47
LYON,TOULOUSE,1.9584,55.5,4h05
MONTPELLIER,NANTES,2.992,86,6h30
BREST,PARIS,2.1148,56,3h39
DIJON,PARIS,1.071,42.5,1h38
MARSEILLE,PARIS,2.9342,70.5,3h27
PARIS,NICE,3.6992,78.5,5h41
PARIS STRASBOURG,1.7102,66,2h20
PARIS,TOULON,3.162,166,3h53
STRASBOURG,LYON,1.598,53.5,3h19
PARIS,SAINT ETIENNE,1.9414,62.5,2h48
LILLE,LYON,2.6996,70.5,3h48
LYON,PARIS,1.7408,61,1h57
LILLE,PARIS,0.8772,39,1h03
NIMES,PARIS,2.6894,69.5,3h05
NANTES,STRASBOURG,3.0226,88,5h01
BORDEAUX  PARIS,2.2168,68,3h21
LILLE MONTPELLIER,3.8182,87,5h0
BORDEAUX  LILLE,3.094,77.5,5h22
LYON,NANTES,2.21,66.5,4h11
LE MANS,PARIS,0.7174,37.5,0h56
PARIS,RENNES,1.2716,50,1h25
LYON,NICE,1.9584,55.5,4h31
LYON,TOULON,1.4212,73,2h29
LILLE,RENNES,2.3902,66.5,4h13
LILLE,NANTES,2.465,66.5,4h11
MARSEILLE,RENNES,4.2058,86,5h40
MONTPELLIER,PARIS,2.8594,69.5,3h20
GRENOBLE,PARIS,2.1794,66.5,2h59
PARIS,TOULOUSE,2.8492,73,4h08
NANTES,PARIS,1.3464,52.5,2h16
PARIS,REIMS,0.5848,29.5,0h48
