depart,arrivee,temps,prix,CO2
Lyon,Paris,04h29,35,27.96
Nantes,Paris,03h54,34,23.16
Paris,Strasbourg,04h39,38,29.28
Paris,Rennes,03h41,28,21.0
Le Havre,Paris,02h22,18,11.76
Paris,Reims,01h32,11,8.58
Lille,Paris,02h24,17,13.2
Angers,Paris,02h54,25,17.82
Dijon,Paris,03h08,21,18.9
Le Mans,Paris,02h15,17,12.54
Clermont-Ferrand,Paris,04h11,36,25.44
Amiens,Paris,01h52,10,7.98
Limoges,Paris,03h49,25,23.64
Lyon,Marseille,03h09,25,18.84
Marseille,Toulouse,04h05,32,24.3
Marseille,Nice,02h28,17,11.4
Marseille,Montpellier,01h52,12,9.96
Marseille,Saint-etienne,03h24,26,19.86
Marseille,Toulon,00h51,6,3.888
Grenoble,Marseille,03h00,25,18.36
Dijon,Marseille,04h53,40,30.18
Clermont-Ferrand,Marseille,04h46,37,28.5
Aix-en-Provence,Marseille,00h40,1,2.004
Marseille,Nimes,01h41,11,7.62
Lyon,Nice,04h43,40,28.38
Lyon,Strasbourg,04h51,34,29.52
Lyon,Montpellier,03h02,24,18.06
Lyon,Reims,04h30,39,29.4
Lyon,Saint-etienne,01h04,3,3.798
Lyon,Toulon,03h40,31,22.74
Grenoble,Lyon,01h23,10,6.66
Dijon,Lyon,02h06,15,11.7
Clermont-Ferrand,Lyon,01h59,14,10.08
Aix-en-Provence,Lyon,02h59,24,18.12
Limoges,Lyon,04h06,32,24.3
Lyon,Nimes,02h39,22,15.48
Montpellier,Toulouse,02h34,21,14.58
Bordeaux,Toulouse,02h30,19,14.64
Toulon,Toulouse,04h38,39,28.2
Clermont-Ferrand,Toulouse,03h58,29,22.56
Montpellier,Toulouse,02h34,21,14.58
Bordeaux,Toulouse,02h30,19,14.64
Toulon,Toulouse,04h38,39,28.2
Clermont-Ferrand,Toulouse,03h58,29,22.56
Aix-en-Provence,Toulouse,03h58,32,23.58
Limoges,Toulouse,02h57,19,17.4
Nimes,Toulouse,03h01,24,17.4
Montpellier,Nice,03h27,27,19.5
Nice,Saint-etienne,04h59,41,29.4
Nice,Toulon,01h46,13,9.0
Grenoble,Nice,01h48,13,9.0
Angers,Nice,01h48,13,9.0
Aix-en-Provence,Nice,02h00,16,10.56
Nice,Nimes,03h02,23,16.74
Bordeaux,Nantes,03h34,26,19.8
Nantes,Rennes,01h35,5,6.54
Le Havre,Nantes,04h12,21,23.04
Angers,Nantes,01h06,8,5.418
Brest,Nantes,03h43,13,17.82
Le Mans,Nantes,02h07,16,11.1
Limoges,Nantes,04h18,21,19.32
Reims,Strasbourg,03h21,27,20.88
Dijon,Strasbourg,03h25,21,19.86
Amiens,Strasbourg,04h56,41,31.38
Bordeaux,Montpellier,04h34,40,28.92
Montpellier,Saint-etienne,03h22,26,19.26
Montpellier,Toulon,02h30,18,14.04
Grenoble,Montpellier,02h57,25,17.76
Dijon,Montpellier,04h50,40,29.58
Clermont-Ferrand,Montpellier,03h30,18,19.98
Aix-en-Provence,Montpellier,01h49,11,9.42
Montpellier,Nimes,00h52,4,3.246
